key_filler.keys,key_filler.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,word,color,CorrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt
return,4.36729,return,39.552055,right,1,2.08518,0,0,0,21,1,yellow,yellow,right,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,down,0,4.004505,0,1,1,1,1,green,blue,left,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.54149,0,2,2,10,1,red,green,down,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,0.750405,0,3,3,19,1,green,yellow,right,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.520315,0,4,4,22,1,red,yellow,right,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.60529,0,5,5,4,1,red,blue,left,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,down,0,0.636825,0,6,6,17,1,blue,red,up,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,down,0,0.720295,0,7,7,14,1,blue,red,up,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,0.719335,0,8,8,11,1,blue,green,down,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.57329,0,9,9,0,1,red,blue,left,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,0.73559,0,10,10,20,1,blue,yellow,right,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.889925,0,11,11,6,1,red,green,down,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,0.43537,0,12,12,2,1,blue,blue,left,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,right,0,0.45317,0,13,13,15,1,yellow,red,up,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.384805,0,14,14,18,1,red,yellow,right,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,0.35758,0,15,15,12,1,red,red,up,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,0.49301,0,16,16,23,1,blue,yellow,right,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.45561,0,17,17,8,1,blue,green,down,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,0.30225,0,18,18,5,1,blue,blue,left,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,0.56216,0,19,19,7,1,green,green,down,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,0.483525,0,20,20,16,1,red,red,up,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,down,0,0.500565,0,21,21,13,1,green,red,up,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,right,0,0.53545,0,22,22,9,1,yellow,green,down,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,right,0,0.484175,0,23,23,3,1,yellow,blue,left,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,0.555595,1,0,24,23,1,blue,yellow,right,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.44895,1,1,25,22,1,red,yellow,right,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,right,0,0.70076,1,2,26,9,1,yellow,green,down,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,down,0,0.567785,1,3,27,13,1,green,red,up,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.423085,1,4,28,0,1,red,blue,left,Aria,001,2020-10-05_11h50.21.731,psych53,2020.2.2,MacIntel,60,,
