key_filler.keys,key_filler.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,word,color,CorrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt
return,4.56944,return,32.26286,left,1,2.393915,0,0,0,4,1,red,blue,left,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,right,1,1.462415,0,1,1,20,1,blue,yellow,right,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,right,1,2.25195,0,2,2,19,1,green,yellow,right,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,left,1,1.51174,0,3,3,1,1,green,blue,left,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,down,1,1.28397,0,4,4,7,1,green,green,down,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,left,1,1.028985,0,5,5,2,1,blue,blue,left,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,up,1,0.91708,0,6,6,12,1,red,red,up,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,down,1,0.455435,0,7,7,9,1,yellow,green,down,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,left,1,1.143585,0,8,8,5,1,blue,blue,left,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,right,1,0.450365,0,9,9,21,1,yellow,yellow,right,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,up,1,0.93439,0,10,10,15,1,yellow,red,up,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,down,1,0.423305,0,11,11,6,1,red,green,down,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,right,1,1.33708,0,12,12,22,1,red,yellow,right,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,right,1,1.12677,0,13,13,23,1,blue,yellow,right,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,left,0,1.235865,0,14,14,8,1,blue,green,down,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
,,,,down,1,2.077765,0,15,15,11,1,blue,green,down,Arielle,001,2020-10-05_11h50.13.762,psych53,2020.2.2,Win32,60,,
