key_filler.keys,key_filler.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,word,color,CorrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt
return,4.80978,space,69.852015,right,1,3.01056,0,0,0,23,1,blue,yellow,right,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,up,1,1.32009,0,1,1,16,1,red,red,up,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,up,1,0.737645,0,2,2,14,1,blue,red,up,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,right,1,0.53412,0,3,3,20,1,blue,yellow,right,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,right,1,0.394945,0,4,4,21,1,yellow,yellow,right,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,left,1,1.59479,0,5,5,5,1,blue,blue,left,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,left,1,0.36102,0,6,6,2,1,blue,blue,left,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,up,1,0.538465,0,7,7,17,1,blue,red,up,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,left,1,0.51457,0,8,8,1,1,green,blue,left,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,1,0.476695,0,9,9,6,1,red,green,down,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,right,1,0.489035,0,10,10,19,1,green,yellow,right,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,0,0.93291,0,11,11,0,1,red,blue,left,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,up,1,1.96981,0,12,12,15,1,yellow,red,up,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,1,2.637345,0,13,13,7,1,green,green,down,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,1,0.43494,0,14,14,11,1,blue,green,down,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,up,1,0.551335,0,15,15,12,1,red,red,up,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,right,1,0.73539,0,16,16,22,1,red,yellow,right,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,left,1,0.800445,0,17,17,3,1,yellow,blue,left,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,left,1,0.43493,0,18,18,4,1,red,blue,left,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,right,1,0.922085,0,19,19,18,1,red,yellow,right,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,1,0.619715,0,20,20,9,1,yellow,green,down,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,1,0.467755,0,21,21,10,1,red,green,down,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,1,0.402335,0,22,22,8,1,blue,green,down,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,up,1,0.66721,0,23,23,13,1,green,red,up,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,up,0,2.437295,1,0,24,0,1,red,blue,left,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,up,1,0.618395,1,1,25,14,1,blue,red,up,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,0,0.484475,1,2,26,2,1,blue,blue,left,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,1,0.867575,1,3,27,8,1,blue,green,down,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,1,0.58336,1,4,28,7,1,green,green,down,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,left,1,0.45126,1,5,29,3,1,yellow,blue,left,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,right,1,0.568135,1,6,30,19,1,green,yellow,right,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,left,1,1.852965,1,7,31,5,1,blue,blue,left,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,up,1,0.650025,1,8,32,15,1,yellow,red,up,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,up,1,0.51854,1,9,33,16,1,red,red,up,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,1,0.5344,1,10,34,6,1,red,green,down,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,left,1,1.118335,1,11,35,1,1,green,blue,left,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,right,1,1.51998,1,12,36,23,1,blue,yellow,right,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,right,1,0.43405,1,13,37,18,1,red,yellow,right,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,left,0,0.487195,1,14,38,12,1,red,red,up,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,up,1,0.45388,1,15,39,17,1,blue,red,up,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,1,0.470465,1,16,40,9,1,yellow,green,down,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,left,0,1.2017,1,17,41,20,1,blue,yellow,right,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,left,1,1.5693,1,18,42,4,1,red,blue,left,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,up,1,0.73459,1,19,43,13,1,green,red,up,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,1,1.43771,1,20,44,11,1,blue,green,down,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,right,1,0.73503,1,21,45,22,1,red,yellow,right,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,down,1,0.76617,1,22,46,10,1,red,green,down,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,right,1,0.703065,1,23,47,21,1,yellow,yellow,right,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,,
,,,,,,,,,,,,,,,Emma,001,2020-10-05_11h49.36.317,psych53,2020.2.2,Win32,60,return,3.923625
