key_filler.keys,key_filler.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,word,color,CorrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt
return,20.056975,return,35.549885,down,1,3.45035,0,0,0,10,1,red,green,down,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,3.116405,0,1,1,4,1,red,blue,left,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,1.43504,0,2,2,2,1,blue,blue,left,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,down,0,1.252025,0,3,3,13,1,green,red,up,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,2.378905,0,4,4,5,1,blue,blue,left,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,right,0,2.185965,0,5,5,15,1,yellow,red,up,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,1.35295,0,6,6,16,1,red,red,up,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,2.301915,0,7,7,17,1,blue,red,up,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,1.134185,0,8,8,11,1,blue,green,down,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,1.880995,0,9,9,6,1,red,green,down,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.86749,0,10,10,0,1,red,blue,left,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,down,0,1.70007,0,11,11,1,1,green,blue,left,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,right,0,1.20043,0,12,12,9,1,yellow,green,down,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,1.04869,0,13,13,7,1,green,green,down,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,1.216335,0,14,14,14,1,blue,red,up,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,1.083215,0,15,15,8,1,blue,green,down,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,down,0,0.834225,0,16,16,19,1,green,yellow,right,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,0.68107,0,17,17,12,1,red,red,up,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.636655,0,18,18,22,1,red,yellow,right,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,1.73285,0,19,19,20,1,blue,yellow,right,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,right,0,0.499845,0,20,20,3,1,yellow,blue,left,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.58803,0,21,21,18,1,red,yellow,right,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,0.75376,0,22,22,23,1,blue,yellow,right,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,0.56486,0,23,23,21,1,yellow,yellow,right,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.50306,1,0,24,4,1,red,blue,left,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.502865,1,1,25,6,1,red,green,down,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,1.28473,1,2,26,21,1,yellow,yellow,right,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,right,0,0.623305,1,3,27,3,1,yellow,blue,left,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,1.30159,1,4,28,14,1,blue,red,up,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,0.62878,1,5,29,11,1,blue,green,down,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,down,0,1.432035,1,6,30,13,1,green,red,up,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.457585,1,7,31,22,1,red,yellow,right,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,down,0,0.912035,1,8,32,1,1,green,blue,left,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,right,0,0.5841,1,9,33,9,1,yellow,green,down,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,down,0,0.75275,1,10,34,19,1,green,yellow,right,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,right,0,0.68483,1,11,35,15,1,yellow,red,up,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,0.551525,1,12,36,16,1,red,red,up,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,2.28608,1,13,37,2,1,blue,blue,left,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,0.512795,1,14,38,17,1,blue,red,up,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,0.550315,1,15,39,5,1,blue,blue,left,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,0.41715,1,16,40,20,1,blue,yellow,right,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,2.002395,1,17,41,18,1,red,yellow,right,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,1.213505,1,18,42,8,1,blue,green,down,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.618275,1,19,43,10,1,red,green,down,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,left,0,1.283185,1,20,44,23,1,blue,yellow,right,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,0.766585,1,21,45,7,1,green,green,down,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,0.628485,1,22,46,0,1,red,blue,left,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,0.582985,1,23,47,12,1,red,red,up,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,,
,,,,,,,,,,,,,,,John,001,2020-10-05_11h49.13.870,psych53,2020.2.2,MacIntel,60,return,0.80348
