key_filler.keys,key_filler.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,word,color,CorrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt
return,16.222,return,88.123,right,1,5.435,0,0,0,23,1,blue,yellow,right,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,2.399,0,1,1,9,1,yellow,green,down,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,1.623,0,2,2,22,1,red,yellow,right,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,0.799,0,3,3,19,1,green,yellow,right,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,2.101,0,4,4,0,1,red,blue,left,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,1.609,0,5,5,7,1,green,green,down,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,0.683,0,6,6,6,1,red,green,down,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,1.301,0,7,7,16,1,red,red,up,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,0.585,0,8,8,8,1,blue,green,down,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,0.851,0,9,9,10,1,red,green,down,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,0.625,0,10,10,15,1,yellow,red,up,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,2.117,0,11,11,20,1,blue,yellow,right,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,0.426,0,12,12,21,1,yellow,yellow,right,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,0.551,0,13,13,18,1,red,yellow,right,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,1.734,0,14,14,12,1,red,red,up,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,0.666,0,15,15,13,1,green,red,up,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,0.683,0,16,16,5,1,blue,blue,left,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,2.54,0,17,17,17,1,blue,red,up,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,1,0,18,18,1,1,green,blue,left,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,0.474,0,19,19,3,1,yellow,blue,left,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,0.458,0,20,20,2,1,blue,blue,left,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,0.435,0,21,21,4,1,red,blue,left,Lauren and kate,001,2020-10-05_11h49.37.350,psych53,2020.2.2,MacIntel,60,,
