key_filler.keys,key_filler.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,word,color,CorrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt
return,4.067,space,53.78,down,1,3.752,0,0,0,8,1,blue,green,down,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,1.445,0,1,1,5,1,blue,blue,left,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
,,,,up,0,1.215,0,2,2,4,1,red,blue,left,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,1.157,0,3,3,22,1,red,yellow,right,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,1.296,0,4,4,16,1,red,red,up,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,1.344,0,5,5,17,1,blue,red,up,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,1.336,0,6,6,18,1,red,yellow,right,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,0.759,0,7,7,23,1,blue,yellow,right,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,0.534,0,8,8,6,1,red,green,down,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,0.817,0,9,9,1,1,green,blue,left,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,0.603,0,10,10,7,1,green,green,down,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,0.601,0,11,11,15,1,yellow,red,up,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,0.868,0,12,12,9,1,yellow,green,down,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,0.846,0,13,13,2,1,blue,blue,left,Simone,001,2020-10-05_11h49.36.711,psych53,2020.2.2,MacIntel,60,,
