key_filler.keys,key_filler.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,word,color,CorrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt
return,21.346545,return,35.668085,left,1,4.24899,0,0,0,0,1,red,blue,left,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,right,0,2.00344,0,1,1,15,1,yellow,red,up,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,3.143915,0,2,2,23,1,blue,yellow,right,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,2.3994,0,3,3,6,1,red,green,down,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,1.150675,0,4,4,8,1,blue,green,down,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,2.32036,0,5,5,13,1,green,red,up,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,0.804165,0,6,6,17,1,blue,red,up,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,1.50068,0,7,7,22,1,red,yellow,right,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,1.83282,0,8,8,4,1,red,blue,left,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,1.05419,0,9,9,2,1,blue,blue,left,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,down,0,1.266025,0,10,10,19,1,green,yellow,right,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,0.939255,0,11,11,20,1,blue,yellow,right,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,3.87151,0,12,12,1,1,green,blue,left,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,2.48868,0,13,13,12,1,red,red,up,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,1.11269,0,14,14,16,1,red,red,up,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,2.516605,0,15,15,11,1,blue,green,down,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,2.66036,0,16,16,21,1,yellow,yellow,right,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,2.134845,0,17,17,3,1,yellow,blue,left,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,2.954945,0,18,18,10,1,red,green,down,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,4.093855,0,19,19,5,1,blue,blue,left,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,2.63159,0,20,20,14,1,blue,red,up,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,2.267475,0,21,21,7,1,green,green,down,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,0.4835,0,22,22,9,1,yellow,green,down,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,3.29347,0,23,23,18,1,red,yellow,right,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,1.714195,1,0,24,0,1,red,blue,left,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,2.083975,1,1,25,14,1,blue,red,up,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,4.304205,1,2,26,19,1,green,yellow,right,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,1.88437,1,3,27,13,1,green,red,up,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,1.1679,1,4,28,17,1,blue,red,up,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,11.04778,1,5,29,6,1,red,green,down,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,9.22916,1,6,30,18,1,red,yellow,right,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,0.886715,1,7,31,20,1,blue,yellow,right,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,1.482,1,8,32,12,1,red,red,up,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,1.633595,1,9,33,2,1,blue,blue,left,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,1.96605,1,10,34,23,1,blue,yellow,right,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,1.712535,1,11,35,3,1,yellow,blue,left,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,1.379225,1,12,36,21,1,yellow,yellow,right,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,1.38623,1,13,37,16,1,red,red,up,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,1.468155,1,14,38,1,1,green,blue,left,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,1.43378,1,15,39,10,1,red,green,down,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,up,1,3.00706,1,16,40,15,1,yellow,red,up,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,2.73675,1,17,41,9,1,yellow,green,down,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,1.23503,1,18,42,5,1,blue,blue,left,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,right,1,3.59982,1,19,43,22,1,red,yellow,right,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,3.25237,1,20,44,11,1,blue,green,down,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,0.85119,1,21,45,7,1,green,green,down,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,left,1,2.21789,1,22,46,4,1,red,blue,left,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,down,1,2.78826,1,23,47,8,1,blue,green,down,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,,
,,,,,,,,,,,,,,,name,001,2020-10-05_11h49.40.376,psych53,2020.2.2,MacIntel,60,return,2.61997
